Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,8,asymmetric,0.01,0.33463333604212164
75% Corpus,8,asymmetric,0.31,0.3403309381536961
75% Corpus,8,asymmetric,0.61,0.36033389911136715
75% Corpus,8,asymmetric,0.9099999999999999,0.34329720251688406
75% Corpus,8,asymmetric,symmetric,0.33312434191763984
75% Corpus,9,0.01,0.01,0.312478265483749
75% Corpus,9,0.01,0.31,0.3545602778859271
75% Corpus,9,0.01,0.61,0.35887388655849656
75% Corpus,9,0.01,0.9099999999999999,0.3522671250050498
75% Corpus,9,0.01,symmetric,0.323461917655204
75% Corpus,9,0.31,0.01,0.32544755738899245
75% Corpus,9,0.31,0.31,0.3240101760626658
75% Corpus,9,0.31,0.61,0.33197594935266805
75% Corpus,9,0.31,0.9099999999999999,0.3853726766955614
75% Corpus,9,0.31,symmetric,0.3350471746651043
75% Corpus,9,0.61,0.01,0.3447589267493294
75% Corpus,9,0.61,0.31,0.34373554760883435
75% Corpus,9,0.61,0.61,0.3401073798840866
75% Corpus,9,0.61,0.9099999999999999,0.3555298292348963
75% Corpus,9,0.61,symmetric,0.34090524117355075
75% Corpus,9,0.9099999999999999,0.01,0.3639523277896329
75% Corpus,9,0.9099999999999999,0.31,0.3462009545963017
75% Corpus,9,0.9099999999999999,0.61,0.3366983298918711
75% Corpus,9,0.9099999999999999,0.9099999999999999,0.37473111948914933
75% Corpus,9,0.9099999999999999,symmetric,0.3720787906084891
75% Corpus,9,symmetric,0.01,0.34828827683261865
75% Corpus,9,symmetric,0.31,0.3998148986906735
75% Corpus,9,symmetric,0.61,0.3767107965703649
75% Corpus,9,symmetric,0.9099999999999999,0.3926107510626974
75% Corpus,9,symmetric,symmetric,0.37649477077353705
75% Corpus,9,asymmetric,0.01,0.3304740992375793
75% Corpus,9,asymmetric,0.31,0.3471579710345672
75% Corpus,9,asymmetric,0.61,0.3743562824910499
75% Corpus,9,asymmetric,0.9099999999999999,0.3660867179530223
75% Corpus,9,asymmetric,symmetric,0.35829750665934196
75% Corpus,10,0.01,0.01,0.3583120717495929
75% Corpus,10,0.01,0.31,0.3481981145747154
75% Corpus,10,0.01,0.61,0.3581608490307831
75% Corpus,10,0.01,0.9099999999999999,0.35292209114253603
75% Corpus,10,0.01,symmetric,0.3794958157234822
75% Corpus,10,0.31,0.01,0.3293701940268956
75% Corpus,10,0.31,0.31,0.332743146548591
75% Corpus,10,0.31,0.61,0.3467432009767371
75% Corpus,10,0.31,0.9099999999999999,0.338446002474896
75% Corpus,10,0.31,symmetric,0.3483468448256595
75% Corpus,10,0.61,0.01,0.33839692770638174
75% Corpus,10,0.61,0.31,0.34856439326671773
75% Corpus,10,0.61,0.61,0.36181981591027745
75% Corpus,10,0.61,0.9099999999999999,0.3797608407112044
75% Corpus,10,0.61,symmetric,0.32957150762330145
75% Corpus,10,0.9099999999999999,0.01,0.35764472361801125
75% Corpus,10,0.9099999999999999,0.31,0.3504554768509215
75% Corpus,10,0.9099999999999999,0.61,0.3648697691437587
75% Corpus,10,0.9099999999999999,0.9099999999999999,0.3976261730854463
75% Corpus,10,0.9099999999999999,symmetric,0.37616149648517283
75% Corpus,10,symmetric,0.01,0.39465772849575304
75% Corpus,10,symmetric,0.31,0.3373909086770742
75% Corpus,10,symmetric,0.61,0.3413211268106095
75% Corpus,10,symmetric,0.9099999999999999,0.33476100275456416
75% Corpus,10,symmetric,symmetric,0.3536131179199108
75% Corpus,10,asymmetric,0.01,0.3568700747613537
75% Corpus,10,asymmetric,0.31,0.39353814627838235
75% Corpus,10,asymmetric,0.61,0.4081814181514101
75% Corpus,10,asymmetric,0.9099999999999999,0.3896982548932769
75% Corpus,10,asymmetric,symmetric,0.3939519115440357
100% Corpus,2,0.01,0.01,0.37767616617808336
100% Corpus,2,0.01,0.31,0.36997390769787486
100% Corpus,2,0.01,0.61,0.3699739076978749
100% Corpus,2,0.01,0.9099999999999999,0.36951899152061574
100% Corpus,2,0.01,symmetric,0.3699739076978749
100% Corpus,2,0.31,0.01,0.36783766307436117
100% Corpus,2,0.31,0.31,0.3763432712341048
100% Corpus,2,0.31,0.61,0.37237105785623936
100% Corpus,2,0.31,0.9099999999999999,0.37237105785623936
100% Corpus,2,0.31,symmetric,0.3763432712341048
100% Corpus,2,0.61,0.01,0.37687954922228306
100% Corpus,2,0.61,0.31,0.379760767305638
100% Corpus,2,0.61,0.61,0.3600465980237198
100% Corpus,2,0.61,0.9099999999999999,0.36809689335013523
100% Corpus,2,0.61,symmetric,0.36684690560893685
100% Corpus,2,0.9099999999999999,0.01,0.3766445507566056
100% Corpus,2,0.9099999999999999,0.31,0.3360358444780662
100% Corpus,2,0.9099999999999999,0.61,0.37664455075660547
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.33647278797530106
100% Corpus,2,0.9099999999999999,symmetric,0.37664455075660547
100% Corpus,2,symmetric,0.01,0.36945281305409644
100% Corpus,2,symmetric,0.31,0.36004659802371985
100% Corpus,2,symmetric,0.61,0.36004659802371985
100% Corpus,2,symmetric,0.9099999999999999,0.3730498854759904
100% Corpus,2,symmetric,symmetric,0.36004659802371985
100% Corpus,2,asymmetric,0.01,0.35396969091455677
100% Corpus,2,asymmetric,0.31,0.35396969091455677
100% Corpus,2,asymmetric,0.61,0.35396969091455677
100% Corpus,2,asymmetric,0.9099999999999999,0.34852590213889667
100% Corpus,2,asymmetric,symmetric,0.35396969091455677
100% Corpus,3,0.01,0.01,0.3330425733518509
100% Corpus,3,0.01,0.31,0.33581141042953183
100% Corpus,3,0.01,0.61,0.33147810315878473
100% Corpus,3,0.01,0.9099999999999999,0.337570369243035
100% Corpus,3,0.01,symmetric,0.33581141042953183
100% Corpus,3,0.31,0.01,0.35199416270498735
100% Corpus,3,0.31,0.31,0.36541166561636657
100% Corpus,3,0.31,0.61,0.37290709060926713
100% Corpus,3,0.31,0.9099999999999999,0.37695104248221
100% Corpus,3,0.31,symmetric,0.3798394557109475
100% Corpus,3,0.61,0.01,0.3889481738699585
100% Corpus,3,0.61,0.31,0.386482759667242
100% Corpus,3,0.61,0.61,0.39248870194615854
100% Corpus,3,0.61,0.9099999999999999,0.3871940770236835
100% Corpus,3,0.61,symmetric,0.386482759667242
100% Corpus,3,0.9099999999999999,0.01,0.38253421361070966
100% Corpus,3,0.9099999999999999,0.31,0.3937204714183702
100% Corpus,3,0.9099999999999999,0.61,0.3823153136134805
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.3909555390844532
100% Corpus,3,0.9099999999999999,symmetric,0.3937204714183702
100% Corpus,3,symmetric,0.01,0.35199416270498735
100% Corpus,3,symmetric,0.31,0.3798394557109475
100% Corpus,3,symmetric,0.61,0.3827155688042103
100% Corpus,3,symmetric,0.9099999999999999,0.3850799105127077
100% Corpus,3,symmetric,symmetric,0.3798394557109475
100% Corpus,3,asymmetric,0.01,0.39033448163906703
100% Corpus,3,asymmetric,0.31,0.39168118377159994
100% Corpus,3,asymmetric,0.61,0.39168118377159994
100% Corpus,3,asymmetric,0.9099999999999999,0.3935463970668233
100% Corpus,3,asymmetric,symmetric,0.39168118377159994
100% Corpus,4,0.01,0.01,0.3799944870534861
100% Corpus,4,0.01,0.31,0.39021448256933144
100% Corpus,4,0.01,0.61,0.408167978532381
100% Corpus,4,0.01,0.9099999999999999,0.42071887115381296
100% Corpus,4,0.01,symmetric,0.39021448256933144
100% Corpus,4,0.31,0.01,0.422839523004551
100% Corpus,4,0.31,0.31,0.41595495159534046
100% Corpus,4,0.31,0.61,0.42258945969460915
100% Corpus,4,0.31,0.9099999999999999,0.4227155994426138
100% Corpus,4,0.31,symmetric,0.41953360129960243
100% Corpus,4,0.61,0.01,0.43673454475350176
100% Corpus,4,0.61,0.31,0.4199060354691762
100% Corpus,4,0.61,0.61,0.4156061125544222
100% Corpus,4,0.61,0.9099999999999999,0.41164467765059726
100% Corpus,4,0.61,symmetric,0.4252070273456462
100% Corpus,4,0.9099999999999999,0.01,0.4028309171974743
100% Corpus,4,0.9099999999999999,0.31,0.41751678458132535
100% Corpus,4,0.9099999999999999,0.61,0.419434879004907
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.4110051913864827
100% Corpus,4,0.9099999999999999,symmetric,0.413995260910383
100% Corpus,4,symmetric,0.01,0.4312001960718527
100% Corpus,4,symmetric,0.31,0.4227240238437058
100% Corpus,4,symmetric,0.61,0.41877004789317895
100% Corpus,4,symmetric,0.9099999999999999,0.4159947629334365
100% Corpus,4,symmetric,symmetric,0.42272402384370583
100% Corpus,4,asymmetric,0.01,0.42621001445602297
100% Corpus,4,asymmetric,0.31,0.4236230325118038
100% Corpus,4,asymmetric,0.61,0.4300947178703324
100% Corpus,4,asymmetric,0.9099999999999999,0.43688976863709733
100% Corpus,4,asymmetric,symmetric,0.4236230325118038
100% Corpus,5,0.01,0.01,0.40911978368689433
100% Corpus,5,0.01,0.31,0.4019828765682524
100% Corpus,5,0.01,0.61,0.41641845433314534
100% Corpus,5,0.01,0.9099999999999999,0.42065204158354963
100% Corpus,5,0.01,symmetric,0.41169221523625543
100% Corpus,5,0.31,0.01,0.4078700092492878
100% Corpus,5,0.31,0.31,0.42911788562106123
100% Corpus,5,0.31,0.61,0.4206007392674337
100% Corpus,5,0.31,0.9099999999999999,0.4161854530640653
100% Corpus,5,0.31,symmetric,0.4147128810426654
100% Corpus,5,0.61,0.01,0.42625901654529785
100% Corpus,5,0.61,0.31,0.39530338491781486
100% Corpus,5,0.61,0.61,0.4061592465125334
100% Corpus,5,0.61,0.9099999999999999,0.4076110293773262
100% Corpus,5,0.61,symmetric,0.4077029186915427
100% Corpus,5,0.9099999999999999,0.01,0.4084104548048265
100% Corpus,5,0.9099999999999999,0.31,0.4274154720582527
100% Corpus,5,0.9099999999999999,0.61,0.44201480080199473
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.42467339508069823
100% Corpus,5,0.9099999999999999,symmetric,0.41237932625086515
100% Corpus,5,symmetric,0.01,0.40884324276940287
100% Corpus,5,symmetric,0.31,0.41084501487033076
100% Corpus,5,symmetric,0.61,0.4203418983870007
100% Corpus,5,symmetric,0.9099999999999999,0.4158715939046119
100% Corpus,5,symmetric,symmetric,0.4039067063104539
100% Corpus,5,asymmetric,0.01,0.40571590322716106
100% Corpus,5,asymmetric,0.31,0.40769434142431515
100% Corpus,5,asymmetric,0.61,0.42517383433890005
100% Corpus,5,asymmetric,0.9099999999999999,0.43991920460881834
100% Corpus,5,asymmetric,symmetric,0.4012097621412579
100% Corpus,6,0.01,0.01,0.40756799028927754
100% Corpus,6,0.01,0.31,0.3857072858785558
100% Corpus,6,0.01,0.61,0.4093401458376604
100% Corpus,6,0.01,0.9099999999999999,0.4029458134320409
100% Corpus,6,0.01,symmetric,0.4121516046539248
100% Corpus,6,0.31,0.01,0.44391947358913075
100% Corpus,6,0.31,0.31,0.44074697993302986
100% Corpus,6,0.31,0.61,0.4318949267459968
100% Corpus,6,0.31,0.9099999999999999,0.4245455653458355
100% Corpus,6,0.31,symmetric,0.44871217279182374
100% Corpus,6,0.61,0.01,0.44712493485475835
100% Corpus,6,0.61,0.31,0.4341234775415291
100% Corpus,6,0.61,0.61,0.43123845655468074
100% Corpus,6,0.61,0.9099999999999999,0.4233760630469732
100% Corpus,6,0.61,symmetric,0.43862619475546394
100% Corpus,6,0.9099999999999999,0.01,0.4223654277841615
100% Corpus,6,0.9099999999999999,0.31,0.4305908427088345
100% Corpus,6,0.9099999999999999,0.61,0.4374880525864194
100% Corpus,6,0.9099999999999999,0.9099999999999999,0.4493703766230997
100% Corpus,6,0.9099999999999999,symmetric,0.4387996616022609
100% Corpus,6,symmetric,0.01,0.4276420776056742
100% Corpus,6,symmetric,0.31,0.4252097648655586
100% Corpus,6,symmetric,0.61,0.428229871378704
100% Corpus,6,symmetric,0.9099999999999999,0.42260414705765553
100% Corpus,6,symmetric,symmetric,0.4163783132375533
100% Corpus,6,asymmetric,0.01,0.3933316051948767
100% Corpus,6,asymmetric,0.31,0.4252258148374823
100% Corpus,6,asymmetric,0.61,0.41557670331200103
100% Corpus,6,asymmetric,0.9099999999999999,0.4221512083220526
100% Corpus,6,asymmetric,symmetric,0.3836803891806093
100% Corpus,7,0.01,0.01,0.3810835514572822
100% Corpus,7,0.01,0.31,0.40472869517995846
100% Corpus,7,0.01,0.61,0.40082388300073235
100% Corpus,7,0.01,0.9099999999999999,0.3830186980572846
100% Corpus,7,0.01,symmetric,0.3994609611178671
100% Corpus,7,0.31,0.01,0.4147782262515391
100% Corpus,7,0.31,0.31,0.4096006475956607
100% Corpus,7,0.31,0.61,0.40454893744464887
100% Corpus,7,0.31,0.9099999999999999,0.4042139527957974
100% Corpus,7,0.31,symmetric,0.40911523005495304
100% Corpus,7,0.61,0.01,0.42506124600873724
100% Corpus,7,0.61,0.31,0.40982370323790274
100% Corpus,7,0.61,0.61,0.3964271810505347
100% Corpus,7,0.61,0.9099999999999999,0.3856885597357184
100% Corpus,7,0.61,symmetric,0.41573590618440287
100% Corpus,7,0.9099999999999999,0.01,0.42887068337746453
100% Corpus,7,0.9099999999999999,0.31,0.3959158869119749
100% Corpus,7,0.9099999999999999,0.61,0.4030712211362055
100% Corpus,7,0.9099999999999999,0.9099999999999999,0.403526710772247
100% Corpus,7,0.9099999999999999,symmetric,0.4318416549295632
100% Corpus,7,symmetric,0.01,0.40694530744241264
100% Corpus,7,symmetric,0.31,0.41520625493818136
100% Corpus,7,symmetric,0.61,0.40440688110714096
100% Corpus,7,symmetric,0.9099999999999999,0.41224330982108487
100% Corpus,7,symmetric,symmetric,0.40865141097262186
100% Corpus,7,asymmetric,0.01,0.4116000694933271
100% Corpus,7,asymmetric,0.31,0.43309045657233597
100% Corpus,7,asymmetric,0.61,0.44737858472571873
100% Corpus,7,asymmetric,0.9099999999999999,0.4501151299002994
100% Corpus,7,asymmetric,symmetric,0.42432619684423606
100% Corpus,8,0.01,0.01,0.38842555285367975
100% Corpus,8,0.01,0.31,0.3986568036841024
100% Corpus,8,0.01,0.61,0.3981835868405983
100% Corpus,8,0.01,0.9099999999999999,0.41347873489444503
100% Corpus,8,0.01,symmetric,0.3933364527041274
100% Corpus,8,0.31,0.01,0.4095926261646057
100% Corpus,8,0.31,0.31,0.4098541146817174
100% Corpus,8,0.31,0.61,0.4200134795222646
100% Corpus,8,0.31,0.9099999999999999,0.42459907958171317
100% Corpus,8,0.31,symmetric,0.4164243932686099
100% Corpus,8,0.61,0.01,0.40679547511746683
100% Corpus,8,0.61,0.31,0.4068379081307023
100% Corpus,8,0.61,0.61,0.40853715043055905
100% Corpus,8,0.61,0.9099999999999999,0.41478278059287743
100% Corpus,8,0.61,symmetric,0.4096541679596766
100% Corpus,8,0.9099999999999999,0.01,0.4309230396460253
100% Corpus,8,0.9099999999999999,0.31,0.42321091587235715
100% Corpus,8,0.9099999999999999,0.61,0.4221473214185929
100% Corpus,8,0.9099999999999999,0.9099999999999999,0.4498640535198142
100% Corpus,8,0.9099999999999999,symmetric,0.44814030012176487
100% Corpus,8,symmetric,0.01,0.41068536734656186
100% Corpus,8,symmetric,0.31,0.4067766948680016
100% Corpus,8,symmetric,0.61,0.4113906181787186
100% Corpus,8,symmetric,0.9099999999999999,0.4028774504389918
100% Corpus,8,symmetric,symmetric,0.4086716989012653
100% Corpus,8,asymmetric,0.01,0.38562998942816007
100% Corpus,8,asymmetric,0.31,0.3927849832620611
100% Corpus,8,asymmetric,0.61,0.4052067803659081
100% Corpus,8,asymmetric,0.9099999999999999,0.40369218779070853
100% Corpus,8,asymmetric,symmetric,0.38944344070950254
100% Corpus,9,0.01,0.01,0.37785574380018105
100% Corpus,9,0.01,0.31,0.3933137533898305
100% Corpus,9,0.01,0.61,0.3925642136279463
100% Corpus,9,0.01,0.9099999999999999,0.3947579036896793
100% Corpus,9,0.01,symmetric,0.35787492493921763
100% Corpus,9,0.31,0.01,0.38785022847137174
100% Corpus,9,0.31,0.31,0.40992126237001725
